Date,Open,High,Low,Close,Volume
23-01-2008,300.0,322.0,280.0,306.41,725250.0
24-01-2008,319.8,319.8,293.0,301.07,838250.0
25-01-2008,307.0,335.8,304.22,321.72,702750.0
28-01-2008,307.0,318.94,285.45,316.78,969500.0
29-01-2008,322.0,323.57,298.01,305.84,797500.0
30-01-2008,294.44,308.8,294.44,303.94,932750.0
31-01-2008,306.2,318.0,302.8,314.72,1040250.0
01-02-2008,315.0,316.99,297.4,314.91,565250.0
04-02-2008,318.0,323.0,306.8,311.1,388500.0
05-02-2008,310.0,311.4,302.2,304.34,402250.0
06-02-2008,291.0,302.4,291.0,299.72,594500.0
07-02-2008,301.8,303.78,296.0,297.62,534750.0
08-02-2008,298.0,299.2,284.02,288.43,527750.0
11-02-2008,286.5,287.34,270.6,281.45,611250.0
12-02-2008,283.8,287.39,276.61,279.49,553500.0
13-02-2008,286.2,297.01,286.2,292.89,520000.0
14-02-2008,302.0,311.0,302.0,308.15,761750.0
15-02-2008,302.4,316.0,299.0,313.32,482000.0
18-02-2008,315.2,315.22,308.0,311.71,288000.0
19-02-2008,314.0,315.8,311.31,314.25,308750.0
20-02-2008,310.2,310.2,300.0,306.67,724500.0
21-02-2008,310.46,313.35,299.05,308.12,459250.0
22-02-2008,305.4,306.3,292.7,294.67,640000.0
25-02-2008,305.4,305.4,279.99,285.23,1537250.0
26-02-2008,290.0,293.73,289.22,291.25,868500.0
27-02-2008,292.1,297.38,289.4,290.57,547000.0
28-02-2008,293.99,297.8,290.8,294.41,710500.0
29-02-2008,290.99,293.6,284.27,291.23,853000.0
03-03-2008,284.2,284.2,272.02,276.14,464750.0
04-03-2008,274.4,274.98,257.8,269.76,1216000.0
05-03-2008,268.2,271.6,264.32,267.54,685750.0
07-03-2008,260.64,261.2,251.02,254.8,840000.0
10-03-2008,250.2,264.6,243.0,262.15,1056250.0
11-03-2008,255.11,269.18,252.65,266.37,839250.0
12-03-2008,279.8,286.0,270.38,274.38,938250.0
13-03-2008,268.2,268.6,255.43,258.81,774500.0
14-03-2008,258.0,264.8,255.0,263.43,687750.0
17-03-2008,254.0,254.0,239.8,245.79,1023250.0
18-03-2008,240.8,247.99,233.44,246.8,1556500.0
19-03-2008,258.0,265.8,249.4,253.87,2036500.0
24-03-2008,258.0,271.36,258.0,268.64,1068250.0
25-03-2008,278.0,287.6,274.84,284.0,1486750.0
26-03-2008,282.93,293.0,279.83,288.83,1196250.0
27-03-2008,282.2,293.7,277.6,285.98,1122750.0
28-03-2008,285.0,285.0,272.42,281.16,1279250.0
31-03-2008,279.2,279.2,258.02,264.15,1245250.0
01-04-2008,265.04,265.58,253.2,262.52,831500.0
02-04-2008,273.8,276.94,262.01,265.0,495000.0
03-04-2008,263.8,273.0,261.9,265.23,580500.0
04-04-2008,260.42,264.78,256.64,257.95,906500.0
07-04-2008,256.0,264.58,255.4,261.05,678000.0
08-04-2008,263.8,264.76,257.22,259.79,747250.0
09-04-2008,261.6,276.8,258.4,272.5,1140500.0
10-04-2008,273.6,273.6,263.07,264.19,718500.0
11-04-2008,268.0,270.8,261.0,263.93,835250.0
15-04-2008,256.8,265.96,253.06,260.28,1944250.0
16-04-2008,263.8,264.38,258.45,259.7,960250.0
17-04-2008,263.4,278.0,262.7,276.44,2387750.0
21-04-2008,278.0,289.98,273.06,287.34,1635000.0
22-04-2008,286.0,295.8,283.6,293.36,1373500.0
23-04-2008,292.53,293.8,286.2,289.21,1348000.0
24-04-2008,291.98,292.98,280.9,287.84,1418000.0
25-04-2008,290.0,295.8,288.22,294.85,712250.0
28-04-2008,300.2,302.99,296.02,301.72,671250.0
29-04-2008,300.02,308.4,299.02,306.02,886000.0
30-04-2008,304.4,306.96,299.6,301.79,586500.0
02-05-2008,307.0,314.8,305.86,307.54,823750.0
05-05-2008,305.25,311.2,303.79,306.0,646750.0
06-05-2008,306.2,310.0,306.2,308.39,623000.0
07-05-2008,304.22,311.01,302.62,308.14,800500.0
08-05-2008,302.4,303.96,299.0,300.52,763000.0
09-05-2008,298.0,302.2,289.0,290.32,605000.0
12-05-2008,289.0,295.18,286.31,293.74,582500.0
13-05-2008,294.2,298.0,290.44,295.55,674000.0
14-05-2008,293.8,295.0,290.0,293.38,419750.0
15-05-2008,294.6,296.99,292.0,294.84,511000.0
16-05-2008,297.6,303.52,297.6,300.01,989250.0
20-05-2008,299.58,301.0,289.14,292.12,652500.0
21-05-2008,290.0,290.0,279.6,283.31,1563000.0
22-05-2008,277.8,278.98,274.2,277.42,744750.0
23-05-2008,278.2,282.58,274.2,276.22,917250.0
26-05-2008,272.2,274.0,266.2,268.42,813750.0
27-05-2008,270.6,272.38,259.3,263.84,1370000.0
28-05-2008,264.02,272.6,262.81,270.71,1161000.0
29-05-2008,271.2,274.98,261.0,263.65,1050750.0
30-05-2008,265.0,267.2,263.48,265.78,837750.0
02-06-2008,268.0,268.36,256.42,259.16,681250.0
03-06-2008,252.6,257.0,248.8,252.66,703500.0
04-06-2008,252.0,253.16,238.42,241.13,1006500.0
05-06-2008,242.0,246.62,236.2,245.1,1325500.0
06-06-2008,249.0,250.2,242.44,244.4,906250.0
09-06-2008,230.0,240.0,228.02,230.79,710000.0
10-06-2008,231.8,231.8,216.05,223.11,1026000.0
11-06-2008,223.8,234.4,222.2,233.31,906500.0
12-06-2008,222.2,233.2,221.23,231.16,1171500.0
13-06-2008,230.2,232.0,221.0,222.34,880750.0
